date,symbol,margin_balance,short_balance,day_trade_volume,total_volume
2026-07-13,00953B,126372.0,,,14804355.0
2026-07-13,00954,1420.0,,,1745921.0
2026-07-13,00956,81.0,,,1412618.0
2026-07-13,00960,122.0,,,745472.0
2026-07-13,00961,2013.0,,,15709758.0
2026-07-13,00962,92.0,,,375673.0
2026-07-13,00963,16.0,,,424547.0
2026-07-13,00964,34.0,,,2000028.0
2026-07-13,00965,1718.0,,,1625029.0
2026-07-13,00971,14.0,,,147488.0
2026-07-13,00972,3.0,,,187627.0
2026-07-13,009800,1549.0,,,845974.0
2026-07-13,009801,29.0,,,458312.0
2026-07-13,009802,1902.0,,,2004652.0
2026-07-13,009803,377.0,,,1252194.0
2026-07-13,009804,520.0,,,2650469.0
2026-07-13,009805,16040.0,,,6326701.0
2026-07-13,009808,41.0,,,425346.0
2026-07-13,009809,5.0,,,1598984.0
2026-07-13,00980A,2919.0,,,8013574.0
2026-07-13,009810,2.0,,,285126.0
2026-07-13,009811,46.0,,,3304611.0
2026-07-13,009812,2.0,,,251355.0
2026-07-13,009813,76.0,,,2862024.0
2026-07-13,009816,31891.0,,,91298492.0
2026-07-13,009817,111.0,,,1567805.0
2026-07-13,009818,14.0,,,441775.0
2026-07-13,009819,5628.0,,,6990776.0
2026-07-13,00981A,144350.0,,,128841334.0
2026-07-13,00981T,29.0,,,1899773.0
2026-07-13,009820,3482.0,,,4208963.0
2026-07-13,009821,12268.0,,,21193095.0
2026-07-13,009824,3664.0,,,21127260.0
2026-07-13,00982A,9359.0,,,17751984.0
2026-07-13,00982D,122.0,,,1209862.0
2026-07-13,00983A,453.0,,,1032061.0
2026-07-13,00983D,73.0,,,498389.0
2026-07-13,00984A,1531.0,,,15153463.0
2026-07-13,00984D,5910.0,,,8282417.0
2026-07-13,00985A,1515.0,,,3581081.0
2026-07-13,00985B,250.0,,,4326409.0
2026-07-13,00986A,69.0,,,270836.0
2026-07-13,00987A,2203.0,,,2339473.0
2026-07-13,00988A,78815.0,,,51651959.0
2026-07-13,00989A,171.0,,,321380.0
2026-07-13,00990A,21815.0,,,26743997.0
2026-07-13,00991A,117302.0,,,80703742.0
2026-07-13,00992A,26211.0,,,23444793.0
2026-07-13,00993A,1702.0,,,10471192.0
2026-07-13,00994A,2673.0,,,5029508.0
2026-07-13,00995A,1755.0,,,4905622.0
2026-07-13,00996A,3581.0,,,6408187.0
2026-07-13,00997A,15407.0,,,20464725.0
2026-07-13,00999A,3160.0,,,9746893.0
2026-07-13,1101,36828.0,,,39534972.0
2026-07-13,1102,1062.0,,,12298112.0
2026-07-13,1103,4187.0,,,363711.0
2026-07-13,1104,1552.0,,,639630.0
2026-07-13,1108,341.0,,,1447498.0
2026-07-13,1109,283.0,,,58430.0
2026-07-13,1110,2891.0,,,118001.0
2026-07-13,1201,1659.0,,,334240.0
2026-07-13,1203,1.0,,,22733.0
2026-07-13,1210,681.0,,,1943675.0
2026-07-13,1215,359.0,,,1329985.0
2026-07-13,1216,597.0,,,18981792.0
2026-07-13,1217,844.0,,,413397.0
2026-07-13,1218,1519.0,,,2616636.0
2026-07-13,1219,604.0,,,961002.0
2026-07-13,1220,948.0,,,154085.0
2026-07-13,1225,6944.0,,,53442.0
2026-07-13,1227,883.0,,,760789.0
2026-07-13,1229,2970.0,,,2148457.0
2026-07-13,1231,265.0,,,452550.0
2026-07-13,1232,25.0,,,268889.0
2026-07-13,1233,19.0,,,20083.0
2026-07-13,1234,15.0,,,70269.0
2026-07-13,1235,1185.0,,,22214.0
2026-07-13,1236,208.0,,,126134.0
2026-07-13,1256,359.0,,,240618.0
2026-07-13,1301,24792.0,,,56581393.0
2026-07-13,1303,36994.0,,,122470816.0
2026-07-13,1304,12981.0,,,5506865.0
2026-07-13,1305,7649.0,,,3719085.0
2026-07-13,1307,1333.0,,,941764.0
2026-07-13,1308,7704.0,,,3203188.0
2026-07-13,1309,8382.0,,,3596405.0
2026-07-13,1310,14813.0,,,9014580.0
2026-07-13,1312,21522.0,,,11993369.0
2026-07-13,1313,11167.0,,,10709020.0
2026-07-13,1314,77610.0,,,155533241.0
2026-07-13,1315,27.0,,,27336.0
2026-07-13,1316,10899.0,,,828807.0
2026-07-13,1319,6882.0,,,2271342.0
2026-07-13,1321,7283.0,,,124451.0
2026-07-13,1323,84.0,,,49663.0
2026-07-13,1324,1378.0,,,75952.0
2026-07-13,1325,2023.0,,,99365.0
2026-07-13,1326,30604.0,,,59118264.0
2026-07-13,1337,21372.0,,,453986.0
2026-07-13,1338,3848.0,,,113456.0
2026-07-13,1339,862.0,,,55033.0
2026-07-13,1340,1006.0,,,204082.0
2026-07-13,1342,619.0,,,157832.0
2026-07-13,1402,8697.0,,,27617109.0
2026-07-13,1409,26261.0,,,77595059.0
2026-07-13,1410,322.0,,,280220.0
2026-07-13,1414,1201.0,,,203332.0
2026-07-13,1416,3360.0,,,243804.0
2026-07-13,1417,1788.0,,,249415.0
2026-07-13,1418,761.0,,,72549.0
2026-07-13,1419,1249.0,,,108089.0
2026-07-13,1423,98.0,,,40969.0
2026-07-13,1432,142.0,,,137549.0
2026-07-13,1434,6107.0,,,3065451.0
2026-07-13,1436,993.0,,,2081925.0
2026-07-13,1437,2005.0,,,141731.0
2026-07-13,1438,183.0,,,10040.0
2026-07-13,1439,1049.0,,,36382.0
2026-07-13,1440,5510.0,,,3627021.0
2026-07-13,1442,2958.0,,,153177.0
2026-07-13,1443,31.0,,,16644.0
2026-07-13,1444,573.0,,,4633610.0
2026-07-13,1445,1399.0,,,110090.0
2026-07-13,1446,1618.0,,,1067860.0
2026-07-13,1447,986.0,,,2675444.0
2026-07-13,1449,3176.0,,,488967.0
2026-07-13,1451,639.0,,,109084.0
2026-07-13,1452,105.0,,,114299.0
2026-07-13,1453,1067.0,,,56734.0
2026-07-13,1454,2177.0,,,18792.0
2026-07-13,1455,3726.0,,,3742186.0
2026-07-13,1456,818.0,,,281394.0
2026-07-13,1457,722.0,,,109035.0
2026-07-13,1459,485.0,,,225657.0
2026-07-13,1463,488.0,,,119006.0
2026-07-13,1464,2000.0,,,358077.0
2026-07-13,1465,3324.0,,,163926.0
